,ranking,,title,artist,rank_week,index
6293,94,,Rule The World,2 Chainz Featuring Ariana Grande,2019-03-16,Rule The World 2 Chainz Featuring Ariana Grande
6299,100,,Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,2019-03-16,Momma I Hit A Lick 2 Chainz Featuring Kendrick Lamar
6274,75,,Whip,2 Chainz Featuring Travis Scott,2019-03-16,Whip 2 Chainz Featuring Travis Scott
1495,96,,Proud,2 Chainz Featuring YG & Offset,2018-04-14,Proud 2 Chainz Featuring YG & Offset
2552,53,,Bigger > You,"2 Chainz, Drake & Quavo",2018-06-30,"Bigger > You 2 Chainz, Drake & Quavo"
27,28,,Bank Account,21 Savage,2018-01-06,Bank Account 21 Savage
5236,37,,A Lot,21 Savage,2019-01-05,A Lot 21 Savage
5257,58,,Can't Leave Without It,21 Savage,2019-01-05,Can't Leave Without It 21 Savage
5266,67,,All My Friends,21 Savage,2019-01-05,All My Friends 21 Savage
5269,70,,Break Da Law,21 Savage,2019-01-05,Break Da Law 21 Savage
5272,73,,Monster,21 Savage,2019-01-05,Monster 21 Savage
5285,86,,1.5,21 Savage,2019-01-05,1.5 21 Savage
5287,88,,Out For The Night,21 Savage,2019-01-05,Out For The Night 21 Savage
5292,93,,Gun Smoke,21 Savage,2019-01-05,Gun Smoke 21 Savage
5294,95,,ASMR,21 Savage,2019-01-05,ASMR 21 Savage
960,61,,Want You Back,5 Seconds Of Summer,2018-03-10,Want You Back 5 Seconds Of Summer
2395,96,,Youngblood,5 Seconds Of Summer,2018-06-16,Youngblood 5 Seconds Of Summer
7447,48,,Easier,5 Seconds Of Summer,2019-06-08,Easier 5 Seconds Of Summer
14,15,,Gummo,6ix9ine,2018-01-06,Gummo 6ix9ine
66,67,,Kooda,6ix9ine,2018-01-06,Kooda 6ix9ine
959,60,,Billy,6ix9ine,2018-03-10,Billy 6ix9ine
1698,99,,Gotti,6ix9ine,2018-04-28,Gotti 6ix9ine
4870,71,,WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,2018-12-08,WAKA 6ix9ine Featuring A Boogie Wit da Hoodie
3629,30,,BEBE,6ix9ine Featuring Anuel AA,2018-09-15,BEBE 6ix9ine Featuring Anuel AA
4124,25,,STOOPID,6ix9ine Featuring Bobby Shmurda,2018-10-20,STOOPID 6ix9ine Featuring Bobby Shmurda
2245,46,,TATI,6ix9ine Featuring DJ SPINKING,2018-06-09,TATI 6ix9ine Featuring DJ SPINKING
4861,62,,TIC TOC,6ix9ine Featuring Lil Baby,2018-12-08,TIC TOC 6ix9ine Featuring Lil Baby
4857,58,,MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,2018-12-08,MAMA 6ix9ine Featuring Nicki Minaj & Kanye West
3003,4,,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-08-04,FEFE 6ix9ine Featuring Nicki Minaj & Murda Beatz
4858,59,,KIKA,6ix9ine Featuring Tory Lanez,2018-12-08,KIKA 6ix9ine Featuring Tory Lanez
972,73,,RONDO,6ix9ine Featuring Tory Lanez & Young Thug,2018-03-10,RONDO 6ix9ine Featuring Tory Lanez & Young Thug
363,64,,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-01-27,"KEKE 6ix9ine, Fetty Wap & A Boogie Wit da Hoodie"
3875,76,,Pretty Little Fears,6LACK Featuring J. Cole,2018-09-29,Pretty Little Fears 6LACK Featuring J. Cole
5094,95,,Look Back At It,A Boogie Wit da Hoodie,2018-12-22,Look Back At It A Boogie Wit da Hoodie
5256,57,,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-01-05,Swervin A Boogie Wit da Hoodie Featuring 6ix9ine
5293,94,,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,2019-01-05,Demons And Angels A Boogie Wit da Hoodie Featuring Juice WRLD
5264,65,,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,2019-01-05,Startender A Boogie Wit da Hoodie Featuring Offset & Tyga
30,31,,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-06,Plain Jane A$AP Ferg Featuring Nicki Minaj
1564,65,,A$AP Forever,A$AP Rocky Featuring Moby,2018-04-21,A$AP Forever A$AP Rocky Featuring Moby
2244,45,,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-06-09,Praise The Lord (Da Shine) A$AP Rocky Featuring Skepta
4799,100,,Burn The House Down,AJR,2018-12-01,Burn The House Down AJR
5578,79,,Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-01-26,Let Me Down Slowly Alec Benjamin Featuring Alessia Cara
2798,99,,Growing Pains,Alessia Cara,2018-07-14,Growing Pains Alessia Cara
7796,97,,It's You,Ali Gatie,2019-06-29,It's You Ali Gatie
1399,100,,No Roots,Alice Merton,2018-04-07,No Roots Alice Merton
37,38,,It's The Most Wonderful Time Of The Year,Andy Williams,2018-01-06,It's The Most Wonderful Time Of The Year Andy Williams
5667,68,,Secreto,Anuel AA & Karol G,2019-02-02,Secreto Anuel AA & Karol G
4585,86,,Ella Quiere Beber,Anuel AA & Romeo Santos,2018-11-17,Ella Quiere Beber Anuel AA & Romeo Santos
1702,3,,No Tears Left To Cry,Ariana Grande,2018-05-05,No Tears Left To Cry Ariana Grande
2910,11,,God Is A Woman,Ariana Grande,2018-07-28,God Is A Woman Ariana Grande
3421,22,,Breathin,Ariana Grande,2018-09-01,Breathin Ariana Grande
3454,55,,Sweetener,Ariana Grande,2018-09-01,Sweetener Ariana Grande
3461,62,,Everytime,Ariana Grande,2018-09-01,Everytime Ariana Grande
3471,72,,R.E.M,Ariana Grande,2018-09-01,R.E.M Ariana Grande
3486,87,,Goodnight N Go,Ariana Grande,2018-09-01,Goodnight N Go Ariana Grande
3498,99,,Pete Davidson,Ariana Grande,2018-09-01,Pete Davidson Ariana Grande
4500,1,,"Thank U, Next",Ariana Grande,2018-11-17,"Thank U, Next Ariana Grande"
5123,24,,Imagine,Ariana Grande,2018-12-29,Imagine Ariana Grande
5600,1,,7 Rings,Ariana Grande,2019-02-02,7 Rings Ariana Grande
5901,2,,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-02-23,"Break Up With Your Girlfriend, I'm Bored Ariana Grande"
5913,14,,Needy,Ariana Grande,2019-02-23,Needy Ariana Grande
5916,17,,NASA,Ariana Grande,2019-02-23,NASA Ariana Grande
5921,22,,Bloodline,Ariana Grande,2019-02-23,Bloodline Ariana Grande
5924,25,,Ghostin,Ariana Grande,2019-02-23,Ghostin Ariana Grande
5925,26,,Fake Smile,Ariana Grande,2019-02-23,Fake Smile Ariana Grande
5926,27,,Bad Idea,Ariana Grande,2019-02-23,Bad Idea Ariana Grande
5937,38,,In My Head,Ariana Grande,2019-02-23,In My Head Ariana Grande
5947,48,,Make Up,Ariana Grande,2019-02-23,Make Up Ariana Grande
6669,70,,Monopoly,Ariana Grande & Victoria Monet,2019-04-13,Monopoly Ariana Grande & Victoria Monet
2694,95,,The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2018-07-07,The Light Is Coming Ariana Grande Featuring Nicki Minaj
5186,87,,Sweet But Psycho,Ava Max,2018-12-29,Sweet But Psycho Ava Max
6794,95,,Inmortal,Aventura,2019-04-20,Inmortal Aventura
1733,34,,Wake Me Up!,Avicii,2018-05-05,Wake Me Up! Avicii
7682,83,,Heaven,Avicii,2019-06-22,Heaven Avicii
6867,68,,SOS,Avicii Featuring Aloe Blacc,2019-04-27,SOS Avicii Featuring Aloe Blacc
3963,64,,Head Above Water,Avril Lavigne,2018-10-06,Head Above Water Avril Lavigne
2198,99,,Don't Go Breaking My Heart,Backstreet Boys,2018-06-02,Don't Go Breaking My Heart Backstreet Boys
5392,93,,Solo de Mi,Bad Bunny,2019-01-12,Solo de Mi Bad Bunny
7668,69,,Callaita,Bad Bunny & Tainy,2019-06-22,Callaita Bad Bunny & Tainy
4204,5,,MIA,Bad Bunny Featuring Drake,2018-10-27,MIA Bad Bunny Featuring Drake
1153,54,,Zombie,Bad Wolves,2018-03-24,Zombie Bad Wolves
455,56,,Mine,Bazzi,2018-02-03,Mine Bazzi
7197,98,,Paradise,Bazzi,2019-05-18,Paradise Bazzi
3259,60,,Beautiful,Bazzi Featuring Camila Cabello,2018-08-18,Beautiful Bazzi Featuring Camila Cabello
2991,92,,I'm A Mess,Bebe Rexha,2018-07-28,I'm A Mess Bebe Rexha
6597,98,,Last Hurrah,Bebe Rexha,2019-04-06,Last Hurrah Bebe Rexha
25,26,,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-06,Meant To Be Bebe Rexha & Florida Georgia Line
2398,99,,Sin Pijama,Becky G + Natti Natasha,2018-06-16,Sin Pijama Becky G + Natti Natasha
90,91,,Mayores,Becky G Featuring Bad Bunny,2018-01-06,Mayores Becky G Featuring Bad Bunny
5394,95,,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,2019-01-12,Roses benny blanco & Juice WRLD Featuring Brendon Urie
2955,56,,Eastside,"benny blanco, Halsey & Khalid",2018-07-28,"Eastside benny blanco, Halsey & Khalid"
6292,93,,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",2019-03-16,"I Can't Get Enough benny blanco, Tainy, Selena Gomez & J Balvin"
6974,75,,Before I Let Go,Beyonce,2019-05-04,Before I Let Go Beyonce
