,track,artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,duration_ms,release_date,id,artist_id,track_id,popularity,analysis_url,time_signature,track_href,type,uri,index,matches
0,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.556,0.76,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,0.913,158040,2018-12-14,3KkXRkHbMCARz0aVfEt68P,246dkjvS1zLTtiykXe5h60,3KkXRkHbMCARz0aVfEt68P,91,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse Post Malone,Sunflower (Spider-Man: Into The Spider-Verse) Post Malone & Swae Lee
1,Wow.,Post Malone,0.163,0.833,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,0.385,149520,2018-12-24,6MWtB6iiXyIwun0YzU6DFP,246dkjvS1zLTtiykXe5h60,6MWtB6iiXyIwun0YzU6DFP,88,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,Wow. Post Malone,Wow. Post Malone
2,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.0153,0.581,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,0.434,189487,2018-12-21,1wJRveJZLSb1rjhnUHQiv6,31W5EY0aAly4Qieq6OFu6I,1wJRveJZLSb1rjhnUHQiv6,85,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,4,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,audio_features,spotify:track:1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine) A Boogie Wit da Hoodie,Swervin A Boogie Wit da Hoodie Featuring 6ix9ine
3,Going Bad (feat. Drake),Meek Mill,0.259,0.889,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,0.544,180522,2018-11-30,2IRZnDFmlqMuOrYOLnZZyc,20sxb77xiYeusSH8cVdatc,2IRZnDFmlqMuOrYOLnZZyc,84,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,4,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,audio_features,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake) Meek Mill,Going Bad Meek Mill Featuring Drake
4,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.103,0.896,0.671,0.0,1,0.552,-6.977,0,0.289,112.502,0.358,145543,2018-10-05,78QR3Wp35dqAhFEc2qAGjE,5f7VJjfbwm532GiveGC0ZK,78QR3Wp35dqAhFEc2qAGjE,83,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,4,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna) Lil Baby,Drip Too Hard Lil Baby & Gunna
5,Murder On My Mind,YNW Melly,0.145,0.759,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,0.74,268434,2018-08-03,7eBqSVxrzQZtK2mmgRG6lC,1cNDP5yjU5vjeR8qMf4grg,7eBqSVxrzQZtK2mmgRG6lC,83,https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC,4,https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC,audio_features,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind YNW Melly,Murder On My Mind YNW Melly
6,lovely (with Khalid),Billie Eilish,0.934,0.351,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,0.12,200186,2018-04-19,0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH,0u2P5u6lvoDfwTYjAADbn4,86,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,audio_features,spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid) Billie Eilish,Lovely Billie Eilish & Khalid
7,Happier,Marshmello,0.191,0.687,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,0.671,214290,2018-08-17,2dpaYNEQHiRxtZbfNsse99,64KEffDW9EtZ1y2vBYgq8T,2dpaYNEQHiRxtZbfNsse99,88,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,Happier Marshmello,Happier Marshmello & Bastille
8,Lucid Dreams,Juice WRLD,0.349,0.511,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,0.218,239836,2018-12-10,285pBltuF7vW8TeWk8hdRR,4MCBfE4596Uoi2O4DtmEMz,285pBltuF7vW8TeWk8hdRR,84,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,4,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,audio_features,spotify:track:285pBltuF7vW8TeWk8hdRR,Lucid Dreams Juice WRLD,Lucid Dreams Juice WRLD
9,SICKO MODE,Travis Scott,0.00513,0.834,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,0.446,312820,2018-08-03,2xLMifQCjDGFmkHkpNLD9h,0Y5tJX1MQlPlqiwlOH1tJY,2xLMifQCjDGFmkHkpNLD9h,84,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,SICKO MODE Travis Scott,Sicko Mode Travis Scott
