index,success,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date,popularity,artist,track,country,indie,other,minutes,rap/hip-hop,rock,edm,jazz,pop
Jeff Rosenstock: Mornin'!,0,44.8,0.0,12.4,0.0,6,0.0,-33.650999999999996,1,0.0,0.0,0.0,2018-01-02,0,Jeff Rosenstock,Mornin'!,0,1,0,0.09418333333333333,0,1,0,0,0
Jeff Rosenstock: USA,0,2.46,26.0,80.8,0.00639,0,21.4,-4.867,1,4.62,134.865,7.93,2018-01-02,32,Jeff Rosenstock,USA,0,1,0,7.537283333333333,0,1,0,0,0
Jeff Rosenstock: Yr Throat,0,0.0127,42.0,94.9,0.0005149999999999999,10,27.399999999999995,-3.594,1,5.33,168.03900000000002,76.4,2018-01-02,30,Jeff Rosenstock,Yr Throat,0,1,0,2.7194166666666666,0,1,0,0,0
Jeff Rosenstock: All This Useless Energy,0,0.25399999999999995,40.8,87.9,7.180000000000001,10,24.6,-4.253,1,3.47,95.5,34.6,2018-01-02,31,Jeff Rosenstock,All This Useless Energy,0,1,0,3.3432166666666667,0,1,0,0,0
Jeff Rosenstock: Powerlessness,0,0.8750000000000001,59.9,96.6,0.0,1,52.2,-3.588,0,5.72,107.514,79.5,2018-01-02,27,Jeff Rosenstock,Powerlessness,0,1,0,2.717983333333333,0,1,0,0,0
Jeff Rosenstock: TV Stars,0,2.74,46.7,57.60000000000001,0.00222,4,7.109999999999999,-6.29,0,3.0300000000000002,88.054,16.7,2018-01-02,26,Jeff Rosenstock,TV Stars,0,1,0,4.3426,0,1,0,0,0
Jeff Rosenstock: Beating My Head Against A Wall,0,0.10300000000000001,57.8,90.0,0.0103,5,27.500000000000004,-4.273,1,3.64,149.908,83.9,2018-01-02,25,Jeff Rosenstock,Beating My Head Against A Wall,0,1,0,1.6751666666666667,0,1,0,0,0
Jeff Rosenstock: 9/10,0,7.71,66.5,49.2,0.000144,11,8.84,-7.657,1,2.62,142.064,43.6,2018-01-02,40,Jeff Rosenstock,9/10,0,1,0,3.4952833333333335,0,1,0,0,0
Jeff Rosenstock: Let Them Win,0,8.84,23.9,40.9,4.4,4,12.7,-7.246,1,3.65,108.398,3.0300000000000002,2018-01-02,24,Jeff Rosenstock,Let Them Win,0,1,0,11.167283333333334,0,1,0,0,0
cupcakKe: 2 Minutes,0,31.4,55.2,65.9,0.0,11,10.8,-6.268,0,35.7,105.41,23.6,2018-01-05,25,cupcakKe,2 Minutes,0,0,0,3.2244,1,0,0,0,0
cupcakKe: Cartoons,0,22.8,65.6,86.4,0.0,10,11.4,-3.7680000000000002,0,33.6,86.85600000000001,59.4,2018-01-05,35,cupcakKe,Cartoons,0,0,0,2.5236,1,0,0,0,0
cupcakKe: Duck Duck Goose,0,3.83,90.7,72.9,0.0,10,8.3,-6.631,0,15.1,105.00299999999999,45.7,2018-01-05,46,cupcakKe,Duck Duck Goose,0,0,0,3.2312,1,0,0,0,0
cupcakKe: Wisdom Teeth,0,22.8,74.5,72.9,0.0,11,32.0,-5.4670000000000005,0,6.890000000000001,112.015,33.3,2018-01-05,25,cupcakKe,Wisdom Teeth,0,0,0,2.6796,1,0,0,0,0
cupcakKe: Crayons,0,1.92,83.2,79.7,0.0,2,7.3,-4.021,1,12.4,104.044,35.6,2018-01-05,39,cupcakKe,Crayons,0,0,0,3.1932,1,0,0,0,0
cupcakKe: Cinnamon Toast Crunch,0,15.1,72.5,84.6,0.0,11,15.299999999999999,-3.799,1,29.600000000000005,128.061,42.9,2018-01-05,29,cupcakKe,Cinnamon Toast Crunch,0,0,0,4.0293833333333335,1,0,0,0,0
cupcakKe: Exit,0,62.8,90.7,87.9,0.0,10,5.36,-4.216,0,32.9,111.993,82.8,2018-01-05,25,cupcakKe,Exit,0,0,0,2.796,1,0,0,0,0
cupcakKe: Self Interview,0,45.7,76.0,71.8,0.0,9,11.3,-5.268,0,30.7,144.086,29.7,2018-01-05,24,cupcakKe,Self Interview,0,0,0,2.9004,1,0,0,0,0
cupcakKe: Navel,0,1.1400000000000001,64.9,77.2,0.0,9,14.6,-3.877,1,21.3,136.002,57.3,2018-01-05,23,cupcakKe,Navel,0,0,0,2.6216,1,0,0,0,0
cupcakKe: Spoiled Milk Titties,0,60.199999999999996,74.4,74.9,0.0,7,30.9,-6.165,1,14.7,117.96,48.9,2018-01-05,31,cupcakKe,Spoiled Milk Titties,0,0,0,3.4528,1,0,0,0,0
cupcakKe: Total,0,22.1,73.9,88.4,0.0,8,17.1,-4.031000000000001,1,23.2,104.069,69.1,2018-01-05,25,cupcakKe,Total,0,0,0,3.2268,1,0,0,0,0
