,track,artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre,duration_ms,release_date,id,artist_id,track_id,popularity,analysis_url,time_signature,track_href,type,uri
0,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.556,0.76,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,0.913,"['dfw rap', 'pop', 'rap']",158040,2018-12-14,3KkXRkHbMCARz0aVfEt68P,246dkjvS1zLTtiykXe5h60,3KkXRkHbMCARz0aVfEt68P,91,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P
1,Wow.,Post Malone,0.163,0.833,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,0.385,"['dfw rap', 'pop', 'rap']",149520,2018-12-24,6MWtB6iiXyIwun0YzU6DFP,246dkjvS1zLTtiykXe5h60,6MWtB6iiXyIwun0YzU6DFP,87,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP
2,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.0153,0.581,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,0.434,"['rap', 'trap music']",189487,2018-12-21,1wJRveJZLSb1rjhnUHQiv6,31W5EY0aAly4Qieq6OFu6I,1wJRveJZLSb1rjhnUHQiv6,84,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,4,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,audio_features,spotify:track:1wJRveJZLSb1rjhnUHQiv6
3,Going Bad (feat. Drake),Meek Mill,0.259,0.889,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,0.544,"['hip hop', 'philly rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",180522,2018-11-30,2IRZnDFmlqMuOrYOLnZZyc,20sxb77xiYeusSH8cVdatc,2IRZnDFmlqMuOrYOLnZZyc,84,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,4,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,audio_features,spotify:track:2IRZnDFmlqMuOrYOLnZZyc
4,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.103,0.896,0.671,0.0,1,0.552,-6.977,0,0.289,112.502,0.358,"['atl hip hop', 'atl trap', 'rap', 'trap music']",145543,2018-10-05,78QR3Wp35dqAhFEc2qAGjE,5f7VJjfbwm532GiveGC0ZK,78QR3Wp35dqAhFEc2qAGjE,83,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,4,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE
5,Murder On My Mind,YNW Melly,0.145,0.759,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,0.74,['trap music'],268434,2018-08-03,7eBqSVxrzQZtK2mmgRG6lC,1cNDP5yjU5vjeR8qMf4grg,7eBqSVxrzQZtK2mmgRG6lC,83,https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC,4,https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC,audio_features,spotify:track:7eBqSVxrzQZtK2mmgRG6lC
6,lovely (with Khalid),Billie Eilish,0.934,0.351,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,0.12,"['electropop', 'pop']",200186,2018-04-19,0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH,0u2P5u6lvoDfwTYjAADbn4,86,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,audio_features,spotify:track:0u2P5u6lvoDfwTYjAADbn4
7,Happier,Marshmello,0.191,0.687,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,0.671,"['brostep', 'progressive electro house']",214290,2018-08-17,2dpaYNEQHiRxtZbfNsse99,64KEffDW9EtZ1y2vBYgq8T,2dpaYNEQHiRxtZbfNsse99,88,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99
8,Lucid Dreams,Juice WRLD,0.349,0.511,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,0.218,"['chicago rap', 'trap music']",239836,2018-12-10,285pBltuF7vW8TeWk8hdRR,4MCBfE4596Uoi2O4DtmEMz,285pBltuF7vW8TeWk8hdRR,84,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,4,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,audio_features,spotify:track:285pBltuF7vW8TeWk8hdRR
9,SICKO MODE,Travis Scott,0.00513,0.834,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,0.446,"['pop', 'pop rap', 'rap']",312820,2018-08-03,2xLMifQCjDGFmkHkpNLD9h,0Y5tJX1MQlPlqiwlOH1tJY,2xLMifQCjDGFmkHkpNLD9h,84,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h
10,Without Me,Halsey,0.297,0.752,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,0.533,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",201661,2018-10-04,5p7ujcrUXASCNwRaWNHR1C,26VFTg2z8YR0cCuwLzESi2,5p7ujcrUXASCNwRaWNHR1C,86,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C
11,Better Now,Post Malone,0.354,0.68,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,0.374,"['dfw rap', 'pop', 'rap']",231267,2018-04-27,7dt6x5M1jzdTEt8oCbisTK,246dkjvS1zLTtiykXe5h60,7dt6x5M1jzdTEt8oCbisTK,85,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,audio_features,spotify:track:7dt6x5M1jzdTEt8oCbisTK
12,Better,Khalid,0.0765,0.596,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,0.112,['pop'],229320,2018-10-18,6zeeWid2sgw4lap2jV61PZ,6LuN9FCkKOj5PcnpouEgny,6zeeWid2sgw4lap2jV61PZ,80,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,4,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,audio_features,spotify:track:6zeeWid2sgw4lap2jV61PZ
13,SAD!,XXXTENTACION,0.258,0.74,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,0.473,"['emo rap', 'miami hip hop']",166606,2018-03-16,3ee8Jmje8o58CHK66QrVC2,15UsOTVnJzReFVN1VCnxy4,3ee8Jmje8o58CHK66QrVC2,84,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2
14,rockstar (feat. 21 Savage),Post Malone,0.117,0.587,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,0.14,"['dfw rap', 'pop', 'rap']",218147,2018-04-27,0e7ipj03S05BNilyu5bRzt,246dkjvS1zLTtiykXe5h60,0e7ipj03S05BNilyu5bRzt,85,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,4,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,audio_features,spotify:track:0e7ipj03S05BNilyu5bRzt
15,a lot,21 Savage,0.0395,0.837,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,0.274,"['atl hip hop', 'rap', 'trap music']",288624,2018-12-21,2t8yVaLvJ0RenpXUIAC52d,1URnnhqYAYcrqrcwql10ft,2t8yVaLvJ0RenpXUIAC52d,80,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,4,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,audio_features,spotify:track:2t8yVaLvJ0RenpXUIAC52d
16,Beautiful Crazy,Luke Combs,0.676,0.552,0.402,0.0,11,0.0928,-7.431,1,0.0262,103.313,0.382,"['contemporary country', 'country road']",193200,2018-06-01,2rxQMGVafnNaRaXlRMWPde,718COspgdWOnwOFpJHRZHS,2rxQMGVafnNaRaXlRMWPde,78,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,4,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,audio_features,spotify:track:2rxQMGVafnNaRaXlRMWPde
17,Whiskey Glasses,Morgan Wallen,0.364,0.615,0.68,1.75e-06,6,0.115,-4.582,1,0.0286,149.992,0.702,"['contemporary country', 'country road', 'deep talent show']",234347,2018-04-27,6foY66mWZN0pSRjZ408c00,4oUHIQIBe0LHzYfvXNW4QM,6foY66mWZN0pSRjZ408c00,78,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,4,https://api.spotify.com/v1/tracks/6foY66mWZN0pSRjZ408c00,audio_features,spotify:track:6foY66mWZN0pSRjZ408c00
18,High Hopes,Panic! At The Disco,0.193,0.579,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,0.681,"['baroque pop', 'emo', 'modern rock', 'pop punk']",190947,2018-06-22,1rqqCSm0Qe4I9rUvWncaom,20JZFwl6HVl6yg8a4H3ZqK,1rqqCSm0Qe4I9rUvWncaom,85,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom
19,Look Back At It,A Boogie Wit da Hoodie,0.407,0.791,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,0.536,"['rap', 'trap music']",179449,2018-12-21,3Ol2xnObFdKV9pmRD2t9x8,31W5EY0aAly4Qieq6OFu6I,3Ol2xnObFdKV9pmRD2t9x8,81,https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8,4,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,audio_features,spotify:track:3Ol2xnObFdKV9pmRD2t9x8
20,Moonlight,XXXTENTACION,0.556,0.921,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,0.711,"['emo rap', 'miami hip hop']",135090,2018-03-16,0JP9xo3adEtGSdUEISiszL,15UsOTVnJzReFVN1VCnxy4,0JP9xo3adEtGSdUEISiszL,83,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,4,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,audio_features,spotify:track:0JP9xo3adEtGSdUEISiszL
